,CH1,CH2
Second,Volt,Volt
2.14000e-04,8.60e-01,-2.00e-02, 
2.16000e-04,9.00e-01,-2.00e-02, 
2.18000e-04,9.80e-01,-4.00e-02, 
2.20000e-04,9.60e-01,-4.00e-02, 
2.22000e-04,1.00e+00,-2.00e-02, 
2.24000e-04,1.00e+00,-4.00e-02, 
2.26000e-04,9.80e-01,-2.00e-02, 
2.28000e-04,9.80e-01,-4.00e-02, 
2.30000e-04,8.80e-01,-2.00e-02, 
2.32000e-04,8.60e-01,-4.00e-02, 
2.34000e-04,7.40e-01,-2.00e-02, 
2.36000e-04,7.00e-01,-2.00e-02, 
2.38000e-04,5.40e-01,-4.00e-02, 
2.40000e-04,5.20e-01,-4.00e-02, 
2.42000e-04,3.40e-01,-2.00e-02, 
2.44000e-04,3.20e-01,-2.00e-02, 
2.46000e-04,1.00e-01,-4.00e-02, 
2.48000e-04,6.00e-02,-4.00e-02, 
2.50000e-04,-1.60e-01,-2.00e-02, 
2.52000e-04,-2.00e-01,-2.00e-02, 
2.54000e-04,-4.00e-01,-4.00e-02, 
2.56000e-04,-4.20e-01,-2.00e-02, 
2.58000e-04,-6.20e-01,-4.00e-02, 
2.60000e-04,-6.40e-01,-4.00e-02, 
2.62000e-04,-7.60e-01,-2.00e-02, 
2.64000e-04,-8.00e-01,-4.00e-02, 
2.66000e-04,-8.80e-01,-2.00e-02, 
2.68000e-04,-8.80e-01,-4.00e-02, 
2.70000e-04,-9.60e-01,-2.00e-02, 
2.72000e-04,-9.60e-01,-4.00e-02, 
2.74000e-04,-9.60e-01,-2.00e-02, 
2.76000e-04,-9.60e-01,-2.00e-02, 
2.78000e-04,-8.80e-01,-4.00e-02, 
2.80000e-04,-8.80e-01,-2.00e-02, 
2.82000e-04,-7.60e-01,-4.00e-02, 
2.84000e-04,-7.40e-01,-4.00e-02, 
2.86000e-04,-6.00e-01,-2.00e-02, 
2.88000e-04,-6.00e-01,-2.00e-02, 
2.90000e-04,-4.00e-01,-4.00e-02, 
2.92000e-04,-3.80e-01,-2.00e-02, 
2.94000e-04,-1.60e-01,-4.00e-02, 
2.96000e-04,-1.00e-01,-2.00e-02, 
2.98000e-04,8.00e-02,-4.00e-02, 
