,CH1,CH2
Second,Volt,Volt
-9.60000e-02,-8.80e-01,-9.40e-01, 
-9.20000e-02,-9.60e-01,-1.00e+00, 
-8.80000e-02,-9.40e-01,-9.80e-01, 
-8.40000e-02,-9.60e-01,-1.02e+00, 
-8.00000e-02,-9.80e-01,-1.02e+00, 
-7.60000e-02,-9.60e-01,-1.00e+00, 
-7.20000e-02,-9.60e-01,-1.00e+00, 
-6.80000e-02,-9.20e-01,-9.60e-01, 
-6.40000e-02,-9.20e-01,-9.80e-01, 
-6.00000e-02,-8.80e-01,-9.40e-01, 
-5.60000e-02,-8.80e-01,-9.00e-01, 
-5.20000e-02,-8.00e-01,-8.60e-01, 
-4.80000e-02,-7.60e-01,-8.20e-01, 
-4.40000e-02,-7.00e-01,-7.60e-01, 
-4.00000e-02,-7.00e-01,-7.60e-01, 
-3.60000e-02,-6.60e-01,-7.20e-01, 
-3.20000e-02,-5.80e-01,-6.60e-01, 
-2.80000e-02,-5.20e-01,-5.80e-01, 
-2.40000e-02,-4.60e-01,-5.20e-01, 
-2.00000e-02,-3.80e-01,-4.40e-01, 
-1.60000e-02,-3.60e-01,-4.20e-01, 
-1.20000e-02,-2.20e-01,-2.60e-01, 
-8.00000e-03,-2.00e-01,-2.60e-01, 
-4.00000e-03,-1.00e-01,-1.80e-01, 
0.00000e+00,-2.00e-02,-8.00e-02, 
4.00000e-03,4.00e-02,-2.00e-02, 
8.00000e-03,1.40e-01,8.00e-02, 
1.20000e-02,2.40e-01,1.60e-01, 
1.60000e-02,2.40e-01,1.80e-01, 
2.00000e-02,3.20e-01,2.60e-01, 
2.40000e-02,4.00e-01,3.40e-01, 
2.80000e-02,4.80e-01,4.20e-01, 
3.20000e-02,5.40e-01,4.80e-01, 
3.60000e-02,6.20e-01,5.60e-01, 
4.00000e-02,6.20e-01,5.60e-01, 
4.40000e-02,7.40e-01,6.80e-01, 
4.80000e-02,7.40e-01,6.80e-01, 
5.20000e-02,8.00e-01,7.20e-01, 
5.60000e-02,8.40e-01,7.80e-01, 
6.00000e-02,8.80e-01,8.40e-01, 
6.40000e-02,8.80e-01,8.00e-01, 
6.80000e-02,9.60e-01,9.00e-01, 
7.20000e-02,9.40e-01,8.80e-01, 
7.60000e-02,9.80e-01,9.20e-01, 
8.00000e-02,1.00e+00,9.20e-01, 
8.40000e-02,9.80e-01,9.40e-01, 
8.80000e-02,1.02e+00,9.40e-01, 
9.20000e-02,9.80e-01,9.20e-01, 
9.60000e-02,9.80e-01,9.20e-01, 
1.00000e-01,9.60e-01,9.20e-01, 
1.04000e-01,9.60e-01,9.00e-01, 
1.08000e-01,9.00e-01,8.40e-01, 
1.12000e-01,9.00e-01,8.20e-01, 
1.16000e-01,8.40e-01,7.80e-01, 
1.20000e-01,8.40e-01,7.80e-01, 
1.24000e-01,7.20e-01,6.80e-01, 
1.28000e-01,7.20e-01,6.80e-01, 
1.32000e-01,6.60e-01,6.00e-01, 
1.36000e-01,6.20e-01,5.60e-01, 
1.40000e-01,5.40e-01,4.80e-01, 
1.44000e-01,4.80e-01,4.20e-01, 
1.48000e-01,4.00e-01,3.40e-01, 
1.52000e-01,3.80e-01,3.40e-01, 
1.56000e-01,3.00e-01,2.60e-01, 
1.60000e-01,2.20e-01,1.60e-01, 
1.64000e-01,1.20e-01,8.00e-02, 
1.68000e-01,4.00e-02,0.00e+00, 
1.72000e-01,-4.00e-02,-8.00e-02, 
1.76000e-01,-4.00e-02,-8.00e-02, 
1.80000e-01,-2.20e-01,-2.60e-01, 
1.84000e-01,-2.40e-01,-2.60e-01, 
1.88000e-01,-3.00e-01,-3.60e-01, 
1.92000e-01,-3.80e-01,-4.20e-01, 
1.96000e-01,-4.60e-01,-5.00e-01, 
2.00000e-01,-4.60e-01,-5.00e-01, 
2.04000e-01,-6.00e-01,-6.40e-01, 
